City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Kwinana,AU,72.16,clear sky,-32.25,115.7667,Rockingham Apartments
464,Antalaha,MG,78.37,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
467,Petatlan,MX,79.65,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
469,Port Keats,AU,88.09,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
470,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
471,Emerald,AU,76.33,few clouds,-23.5333,148.1667,The Irish Village
472,Maningrida,AU,86.32,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
476,Simav,TR,71.49,scattered clouds,39.0882,28.9777,Simav Melisa Otel
480,Fayaoue,NC,75.61,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
482,Manokwari,ID,83.46,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
486,Nagua,DO,73.89,overcast clouds,19.3832,-69.8474,Hotel Cambri
487,Qurayyat,SA,78.98,clear sky,31.3318,37.3428,Resorts Kandel
488,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
492,French Harbor,HN,82.4,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
493,Cam Ranh,VN,87.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
497,Fujin,CN,74.39,scattered clouds,47.26,132.0322,Xilong Hotel Fujin Shop
500,Natal,BR,75.42,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
501,Fuerte Olimpo,PY,71.13,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
502,Lubbock,US,81.14,clear sky,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
507,Belmonte,BR,72.46,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
509,Fenoarivo Atsinanana,MG,72.91,light rain,-17.3667,49.4167,L'Oasis Lodge
512,Kangaba,ML,76.82,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
518,Karratha,AU,79.79,heavy intensity rain,-20.7377,116.8463,ibis Styles Karratha
520,Makakilo City,US,73.69,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
521,Jiangyou,CN,80.56,few clouds,31.7667,104.7167,Shangping Shuyuan Inn
523,Atambua,ID,82.62,few clouds,-9.1061,124.8925,Kost Alfa Flat
527,Alice,US,76.73,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
530,Popondetta,PG,82.87,overcast clouds,-8.7537,148.2534,Timos Transit House
534,Sungairaya,ID,88.97,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
537,Caravelas,BR,70.57,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
538,Bambanglipuro,ID,86.41,scattered clouds,-7.95,110.2833,Puri Brata
539,Biak,ID,78.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
542,Monrovia,LR,76.03,light rain,6.3005,-10.7969,Sunset Inn
547,Careiro Da Varzea,BR,76.84,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
548,Puerto Colombia,CO,81.59,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
550,Agropoli,IT,80.1,scattered clouds,40.3469,14.9966,B&B Baia di Trentova
551,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
552,Abdanan,IR,83.59,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
553,Hat Yai,TH,80.78,broken clouds,7.0084,100.4767,New Season Hotel
558,Mareeba,AU,81.66,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
565,Alice Springs,AU,80.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
568,Gigmoto,PH,86.99,broken clouds,13.7796,124.39,Cj's Travellers Inn
570,Bandarbeyla,SO,87.96,broken clouds,9.4942,50.8122,JABIR HOTEL
572,Vargem Grande,BR,70.36,few clouds,-3.5431,-43.9158,Pousada São Raimundo
573,Sulangan,PH,84.06,moderate rain,11.1373,123.7228,Maia's Beach Resort
575,Changde,CN,72.23,overcast clouds,29.0464,111.6783,Kangshida Hotel
577,Xochistlahuaca,MX,76.78,overcast clouds,16.7833,-98.25,La frontera
581,Aswan,EG,89.55,clear sky,24.0934,32.907,Nuba Nile
582,Isangel,VU,78.42,broken clouds,-19.55,169.2667,Tanna Lodge
583,Piacabucu,BR,76.08,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
584,Ca Mau,VN,86.85,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
585,Morant Bay,JM,77.7,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
589,Bundaberg,AU,77.22,scattered clouds,-24.85,152.35,Takalvan Motel
593,Mount Pleasant,US,75.18,few clouds,32.7941,-79.8626,Best Western Patriots Point
594,Tongliao,CN,81.37,overcast clouds,43.6125,122.2653,Meirujia Hotel
597,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
603,Yulara,AU,76.69,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
604,Dandong,CN,74.39,broken clouds,40.1292,124.3947,Yiranju Farmstay
605,Dumingag,PH,75.6,overcast clouds,8.1692,123.3506,Paglinawan Organic Eco Farm
606,Maumere,ID,84.38,clear sky,-8.6199,122.2111,Sylvia Hotel
607,Namasigue,HN,77.7,light rain,13.2047,-87.1389,Hacienda La cosa nuestra
609,Tutoia,BR,73.47,few clouds,-2.7619,-42.2744,Pousada Guará's
610,Mabai,CN,76.95,light rain,23.0128,104.4508,Yingpan Hostel
613,Salalah,OM,87.13,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
616,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
617,Hervey Bay,AU,75.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
618,Conceicao Do Araguaia,BR,74.55,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
620,Nadym,RU,70.38,few clouds,65.5333,72.5167,Apartment on Zvereva
622,Ushtobe,KZ,79.43,clear sky,45.2514,77.9838,Filipin Squad
627,Progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
628,Lorengau,PG,83.84,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
629,Sambava,MG,76.82,broken clouds,-14.2667,50.1667,Melrose
630,Banjar,ID,84.96,broken clouds,-8.19,114.9675,The Hamsa Resort
638,Coro,VE,77.85,overcast clouds,11.4045,-69.6734,Federal
646,Mananjary,MG,70.14,light rain,-21.2167,48.3333,Vahiny Lodge
652,Juba,SS,74.05,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
655,Banda Aceh,ID,85.96,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
656,Koumac,NC,77.52,scattered clouds,-20.5667,164.2833,Le Monitel
659,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
660,Linxia,CN,75.29,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
664,Tomatlan,MX,72.52,clear sky,19.9333,-105.25,El Salvial
666,Nicoya,CR,76.42,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
669,Sarti,GR,73.53,overcast clouds,40.1,23.9833,Vamvini Hotel
678,Black River,JM,75.29,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
679,Inirida,CO,71.44,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
685,Conroe,US,76.75,clear sky,30.3119,-95.456,Hampton Inn & Suites Conroe - I-45 North
