City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Kapaa,US,2022-05-22 04:38:06,22.0752,-159.319,78.78,89,75,11.5
97,Ternate,ID,2022-05-22 04:38:06,0.8,127.4,84.97,67,84,5.17
98,Nigde,TR,2022-05-22 04:38:07,37.8333,34.75,59.77,20,0,2.51
99,Kathu,TH,2022-05-22 04:38:07,7.9178,98.3332,87.69,97,88,19.3
100,Mar Del Plata,AR,2022-05-22 04:34:56,-38.0023,-57.5575,47.95,92,18,4.61
101,Atuona,PF,2022-05-22 04:36:31,-9.8,-139.0333,77.61,79,20,8.46
102,Bodhan,IN,2022-05-22 04:38:08,18.6667,77.9,94.1,27,11,16.64
103,Makakilo City,US,2022-05-22 04:38:08,21.3469,-158.0858,82.72,59,20,16.11
104,Torbay,CA,2022-05-22 04:32:58,47.6666,-52.7314,52.57,54,100,13.8
105,Tiksi,RU,2022-05-22 04:36:51,71.6872,128.8694,31.39,92,100,4.94
106,Harnosand,SE,2022-05-22 04:38:09,62.6323,17.9379,42.8,58,100,1.12
107,Cape Town,ZA,2022-05-22 04:38:10,-33.9258,18.4232,56.12,90,0,6.91
108,Drumheller,CA,2022-05-22 04:38:10,51.4617,-112.7101,49.33,34,90,6.91
109,Rio Gallegos,AR,2022-05-22 04:38:11,-51.6226,-69.2181,41.05,60,0,17.27
110,Bara,NG,2022-05-22 04:38:11,10.3744,10.7288,79.14,70,98,10.51
111,Krasnoselkup,RU,2022-05-22 04:38:12,65.7,82.4667,52.63,51,40,3.4
112,Miles City,US,2022-05-22 04:38:12,46.4083,-105.8406,40.17,60,0,0.0
113,Souillac,MU,2022-05-22 04:38:13,-20.5167,57.5167,73.78,78,40,5.75
114,Trincomalee,LK,2022-05-22 04:38:13,8.5711,81.2335,88.93,60,100,21.0
115,Umm Kaddadah,SD,2022-05-22 04:38:13,13.6017,26.6876,80.37,18,98,6.8
116,Beringovskiy,RU,2022-05-22 04:38:14,63.05,179.3167,38.01,82,100,9.4
117,Tarpon Springs,US,2022-05-22 04:36:08,28.1461,-82.7568,75.15,82,0,5.99
118,Chimore,BO,2022-05-22 04:38:15,-16.9833,-65.1333,68.7,76,100,0.78
119,Tautira,PF,2022-05-22 04:38:15,-17.7333,-149.15,79.75,72,23,10.76
120,Saint-Philippe,RE,2022-05-22 04:38:15,-21.3585,55.7679,72.99,74,18,9.69
121,Hobyo,SO,2022-05-22 04:38:16,5.3505,48.5268,83.17,65,75,18.16
122,Haines Junction,CA,2022-05-22 04:38:16,60.7522,-137.5108,55.35,28,36,10.36
123,Bijapur,IN,2022-05-22 04:38:17,16.8333,75.7,82.9,57,39,18.86
124,Tezu,IN,2022-05-22 04:38:17,27.9167,96.1667,86.43,63,39,3.51
125,Lubumbashi,CD,2022-05-22 04:38:05,-11.6609,27.4794,58.46,83,79,3.09
126,Porto Novo,BJ,2022-05-22 04:34:15,6.4965,2.6036,75.02,92,100,8.3
127,Hasaki,JP,2022-05-22 04:38:18,35.7333,140.8333,70.29,79,90,20.51
128,Yellowknife,CA,2022-05-22 04:34:24,62.456,-114.3525,41.56,100,100,13.8
129,Provideniya,RU,2022-05-22 04:38:19,64.3833,-173.3,49.01,53,99,10.65
130,La Ronge,CA,2022-05-22 04:38:19,55.1001,-105.2842,48.45,29,0,3.44
131,Nome,US,2022-05-22 04:38:20,64.5011,-165.4064,63.16,47,0,5.75
132,New Norfolk,AU,2022-05-22 04:38:20,-42.7826,147.0587,55.92,53,90,1.21
133,Qaqortoq,GL,2022-05-22 04:38:21,60.7167,-46.0333,39.24,82,100,11.39
134,Puerto Ayora,EC,2022-05-22 04:38:21,-0.7393,-90.3518,71.08,89,56,5.82
135,Belmonte,BR,2022-05-22 04:38:22,-15.8631,-38.8828,70.83,76,22,9.28
136,Acapulco,MX,2022-05-22 04:36:09,16.8634,-99.8901,80.42,74,20,4.61
137,Mayumba,GA,2022-05-22 04:38:22,-3.432,10.6554,73.0,87,94,4.12
138,Vaini,TO,2022-05-22 04:39:14,-21.2,-175.2,80.76,74,40,6.91
139,Denpasar,ID,2022-05-22 04:39:23,-8.65,115.2167,87.46,70,20,11.5
140,Smidovich,RU,2022-05-22 04:39:24,48.6,133.8167,57.4,67,94,8.86
141,Dikson,RU,2022-05-22 04:39:24,73.5069,80.5464,28.67,88,67,12.62
142,Kon Tum,VN,2022-05-22 04:39:25,14.35,108.0,78.01,79,100,4.03
143,Buzhakan,AM,2022-05-22 04:39:25,40.4529,44.521,49.39,46,0,4.07
144,Sitka,US,2022-05-22 04:39:25,57.0531,-135.33,55.29,67,0,4.61
145,Port Elizabeth,ZA,2022-05-22 04:39:26,-33.918,25.5701,50.09,93,0,2.3
146,Magadan,RU,2022-05-22 04:39:26,59.5667,150.8,43.54,95,100,4.18
147,Thompson,CA,2022-05-22 04:39:27,55.7435,-97.8558,35.76,64,20,0.0
148,Faanui,PF,2022-05-22 04:39:27,-16.4833,-151.75,80.8,72,10,11.43
149,Katghora,IN,2022-05-22 04:39:27,22.5,82.55,104.88,16,0,6.29
150,Petropavlovsk-Kamchatskiy,RU,2022-05-22 04:32:17,53.0452,158.6483,45.19,81,75,6.71
151,Bonnyville,CA,2022-05-22 04:39:28,54.2668,-110.735,51.6,54,70,7.18
152,Roald,NO,2022-05-22 04:39:28,62.5833,6.1333,52.32,87,100,6.91
153,Sorland,NO,2022-05-22 04:39:29,67.667,12.6934,46.26,95,100,7.16
154,Pozo Colorado,PY,2022-05-22 04:39:29,-23.4923,-58.7972,54.45,77,49,5.75
155,Nizhneudinsk,RU,2022-05-22 04:39:30,54.9076,99.0276,73.47,32,97,14.36
156,Bambanglipuro,ID,2022-05-22 04:39:30,-7.95,110.2833,86.54,62,57,2.82
157,Paddhari,IN,2022-05-22 04:39:30,22.4333,70.6,93.83,41,21,22.48
158,Sokoni,TZ,2022-05-22 04:39:31,-6.4333,39.55,76.86,77,100,12.53
159,Tianpeng,CN,2022-05-22 04:39:31,30.9866,103.9393,72.07,49,84,4.09
160,Hailar,CN,2022-05-22 04:39:32,49.2,119.7,77.18,16,88,21.27
161,Moree,AU,2022-05-22 04:39:32,-29.4667,149.85,59.45,84,100,10.25
162,Wanaka,NZ,2022-05-22 04:35:15,-44.7,169.15,44.8,77,36,5.06
163,Paamiut,GL,2022-05-22 04:39:33,61.994,-49.6678,39.92,80,100,41.2
164,Cabo San Lucas,MX,2022-05-22 04:34:43,22.8909,-109.9124,74.61,67,1,13.6
