City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Hobyo,SO,5.3505,48.5268,82.11,71,84,20.69,broken clouds
263,Shakhtinsk,KZ,49.71,72.5872,54.16,84,100,11.48,light rain
264,Richards Bay,ZA,-28.783,32.0377,65.19,88,0,8.79,clear sky
265,Ancud,CL,-41.8697,-73.8203,42.73,78,21,4.38,few clouds
266,Harper,LR,4.375,-7.7169,76.48,88,97,3.85,light rain
267,Ust-Nera,RU,64.5667,143.2,51.51,59,97,5.46,light rain
268,Granadilla De Abona,ES,28.1188,-16.576,61.38,70,75,6.91,broken clouds
269,Ulaangom,MN,49.9811,92.0667,71.22,25,11,10.65,few clouds
270,Moussoro,TD,13.6408,16.4901,85.19,7,7,7.52,clear sky
271,Mbaiki,CF,3.8678,17.9892,72.91,85,47,2.06,light rain
272,Boda,CF,4.3189,17.4695,72.01,90,40,3.74,scattered clouds
273,Alvand,IR,36.3187,49.1678,61.09,25,3,6.8,clear sky
274,Cherskiy,RU,68.75,161.3,41.4,47,5,11.63,clear sky
275,Chicama,PE,-7.8447,-79.1469,59.54,83,63,4.99,broken clouds
276,Maryville,US,35.7565,-83.9705,61.14,90,7,1.01,clear sky
277,Iralaya,HN,15.0,-83.2333,77.88,87,65,9.86,broken clouds
278,Ordzhonikidze,KZ,52.4411,61.7408,62.69,57,83,17.43,light rain
279,Tautira,PF,-17.7333,-149.15,79.83,73,8,13.62,clear sky
280,Olinda,BR,-8.0089,-34.8553,73.13,100,100,13.8,moderate rain
281,Fortuna,US,40.5982,-124.1573,54.93,92,100,6.91,overcast clouds
282,Saskylakh,RU,71.9167,114.0833,32.0,82,98,6.76,overcast clouds
283,Baykit,RU,61.67,96.37,59.79,33,86,2.75,overcast clouds
284,Saint Anthony,US,45.0205,-93.218,66.96,65,97,4.0,overcast clouds
285,Bengkulu,ID,-3.8004,102.2655,75.96,91,99,11.18,overcast clouds
286,Ossora,RU,59.2353,163.0719,40.01,95,100,4.68,overcast clouds
287,Emba,KZ,48.8264,58.1442,68.77,47,78,17.58,broken clouds
288,Maceio,BR,-9.6658,-35.7353,76.44,83,100,4.61,overcast clouds
289,Exu,BR,-7.5119,-39.7242,65.01,99,36,5.7,scattered clouds
290,Port Lincoln,AU,-34.7333,135.8667,60.94,54,52,9.55,broken clouds
291,Mandalgovi,MN,45.7625,106.2708,46.87,76,100,1.92,overcast clouds
292,Praia,CV,14.9215,-23.5087,72.14,83,20,12.66,few clouds
293,Chernyshevskiy,RU,63.0128,112.4714,52.23,30,59,7.94,broken clouds
294,Erenhot,CN,43.6475,111.9767,78.19,27,100,4.47,overcast clouds
295,Voh,NC,-20.9667,164.7,76.96,76,33,7.38,scattered clouds
296,Balta,UA,47.9355,29.6198,58.06,63,60,8.25,broken clouds
297,Erdenet,MN,49.0333,104.0833,43.2,71,100,10.38,overcast clouds
298,Hirtshals,DK,57.5881,9.9592,52.48,75,74,13.24,broken clouds
299,Vera Cruz,BR,-12.6333,-41.0333,58.57,96,38,1.7,scattered clouds
300,Carrboro,US,35.9101,-79.0753,69.69,93,30,4.81,heavy intensity rain
301,Sao Filipe,CV,14.8961,-24.4956,73.09,82,33,3.06,light rain
302,Khor,RU,47.8861,134.9464,68.29,64,63,5.3,broken clouds
303,Kikwit,CD,-5.041,18.8162,72.21,88,3,1.14,clear sky
304,Katangli,RU,51.7102,143.2326,38.61,95,100,11.27,overcast clouds
305,Guiyang,CN,26.5833,106.7167,66.69,88,100,4.47,overcast clouds
306,Ilebo,CD,-4.3167,20.5833,73.27,84,96,1.61,overcast clouds
307,Vernon,CA,50.2581,-119.2691,51.6,48,65,1.14,broken clouds
308,Verkhnevilyuysk,RU,63.4453,120.3167,54.14,33,75,8.21,broken clouds
309,Tiksi,RU,71.6872,128.8694,33.13,83,100,4.85,overcast clouds
310,Lasa,IT,46.6166,10.7002,61.7,82,42,6.89,scattered clouds
311,Brae,GB,60.3964,-1.353,48.2,76,100,19.13,overcast clouds
312,Leningradskiy,RU,69.3833,178.4167,32.14,95,100,3.98,overcast clouds
313,Marfino,RU,55.7028,37.3822,53.74,84,75,4.47,broken clouds
314,Port Hardy,CA,50.6996,-127.4199,51.98,76,100,6.91,overcast clouds
315,Solwezi,ZM,-12.1688,26.3894,57.92,66,0,6.22,clear sky
316,Trinidad,BO,-14.8333,-64.9,71.98,83,0,3.6,clear sky
317,Auki,SB,-8.7676,160.7034,81.55,79,75,2.33,broken clouds
318,Tsumeb,NA,-19.2333,17.7167,57.52,35,0,6.82,clear sky
319,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.53,86,100,8.7,overcast clouds
320,Mabaruma,GY,8.2,-59.7833,70.38,99,58,2.19,broken clouds
321,Kindu,CD,-2.95,25.95,70.07,98,100,1.88,overcast clouds
322,Okahandja,NA,-21.9833,16.9167,53.8,33,0,8.01,clear sky
323,Eyl,SO,7.9803,49.8164,87.22,50,44,25.86,scattered clouds
324,Villazon,BO,-22.0866,-65.5942,35.58,18,1,1.28,clear sky
325,Hamilton,US,39.1834,-84.5333,61.43,95,76,4.0,broken clouds
326,Sabang,ID,5.8933,95.3214,83.55,77,87,24.79,overcast clouds
327,Bara,NG,10.3744,10.7288,76.84,77,42,11.18,scattered clouds
328,Hope,US,33.6671,-93.5916,61.99,76,0,1.41,clear sky
329,Bacolod,PH,10.6667,122.95,87.4,66,97,11.41,overcast clouds
330,Aleksandrovskoye,RU,44.7142,43.0008,68.27,61,50,6.8,scattered clouds
331,Bardiyah,LY,31.7561,25.0865,80.13,35,0,1.16,clear sky
332,Barra Patuca,HN,15.8,-84.2833,77.27,89,73,7.63,broken clouds
333,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,76,100,14.97,overcast clouds
334,Batemans Bay,AU,-35.7167,150.1833,60.1,89,99,5.41,light rain
335,Tiarei,PF,-17.5333,-149.3333,78.82,73,1,14.67,clear sky
336,Havoysund,NO,70.9963,24.6622,43.03,95,100,24.36,light rain
337,Kargasok,RU,59.0556,80.8572,72.93,32,91,12.01,overcast clouds
338,Barra Do Garcas,BR,-15.89,-52.2567,66.36,70,95,2.3,overcast clouds
339,Maarianhamina,AX,60.0973,19.9348,49.86,87,100,9.22,overcast clouds
340,Arraial Do Cabo,BR,-22.9661,-42.0278,70.84,84,98,20.83,overcast clouds
341,Moranbah,AU,-22.0016,148.0466,76.28,33,3,7.16,clear sky
342,Seoul,KR,37.5683,126.9778,87.19,34,0,17.27,clear sky
343,Omaruru,NA,-21.4333,15.9333,58.39,31,0,6.8,clear sky
344,Hasaki,JP,35.7333,140.8333,82.29,68,18,13.87,few clouds
345,Upernavik,GL,72.7868,-56.1549,28.51,92,100,17.27,light snow
346,Hay River,CA,60.8156,-115.7999,49.96,71,40,2.3,scattered clouds
347,Lensk,RU,60.7253,114.9278,56.01,30,99,11.81,overcast clouds
